# curie_map:
#   FBbt: http://purl.obolibrary.org/obo/FBbt_
#   ZFA: http://purl.obolibrary.org/obo/ZFA_
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/0d7d9f69-fd6b-462c-887c-9919cf2ce91c
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
FBbt:00000001	organism	skos:closeMatch	ZFA:0001094	whole organism	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	caro:0000012
FBbt:00000001	organism	skos:closeMatch	ZFA:0001094	whole organism	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	whole organism
FBbt:00000004	head	skos:closeMatch	ZFA:0001114	head	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	head
FBbt:00000034	egg	skos:closeMatch	ZFA:0001109	oocyte	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	egg
FBbt:00000034	egg	skos:closeMatch	ZFA:0001570	unfertilized egg	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	egg
FBbt:00000035	yolk	skos:closeMatch	ZFA:0000084	yolk	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	yolk
FBbt:00000038	chorion	skos:closeMatch	ZFA:0000329	chorion	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	chorion
FBbt:00000092	primordial germ cell	skos:closeMatch	ZFA:0009288	primordial germ cell	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	primordial germ cell
FBbt:00000111	ectoderm	skos:closeMatch	ZFA:0000016	ectoderm	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	ectoderm
FBbt:00000124	epithelial cell	skos:closeMatch	ZFA:0009034	epithelial cell	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	cl:0000066
FBbt:00000124	epithelial cell	skos:closeMatch	ZFA:0009034	epithelial cell	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	epithelial cell
FBbt:00000125	endoderm	skos:closeMatch	ZFA:0000017	endoderm	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	endoderm
FBbt:00000126	mesoderm	skos:closeMatch	ZFA:0000041	mesoderm	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	mesoderm
FBbt:00000275	embryonic/larval dorsal tracheal branch 10	skos:closeMatch	ZFA:0000320	caudal commissure	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	posterior commissure
FBbt:00000286	larval dorsal group tracheal branch 1	skos:closeMatch	ZFA:0005685	dG1	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	dg1
FBbt:00000375	larval lateral G tracheal branch 4	skos:closeMatch	ZFA:0005705	lG4	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lg4
FBbt:00000375	larval lateral G tracheal branch 4	skos:closeMatch	ZFA:0005720	lateral protoglomerulus 4	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	lg4
FBbt:00000376	larval lateral G tracheal branch 5	skos:closeMatch	ZFA:0005706	lg5	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lg5
FBbt:00000377	larval lateral G tracheal branch 6	skos:closeMatch	ZFA:0005708	lg6	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lg6
FBbt:00000398	dorsal cephalic tracheal branch	skos:closeMatch	ZFA:0000487	central zone of dorsal telencephalon	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	dc
FBbt:00000399	lateral cephalic tracheal branch	skos:closeMatch	ZFA:0000166	lateral crista	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	lc
FBbt:00000439	stomodeum	skos:closeMatch	ZFA:0001290	stomodeum	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	stomodeum
FBbt:00000440	proctodeum	skos:closeMatch	ZFA:0000066	proctodeum	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	proctodeum
FBbt:00001061	ventral neurectoderm	skos:closeMatch	ZFA:0000063	presumptive neural plate	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	neurectoderm
FBbt:00001061	ventral neurectoderm	skos:closeMatch	ZFA:0001120	neuroectoderm	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	neurectoderm
FBbt:00001061	ventral neurectoderm	skos:closeMatch	ZFA:0001120	neuroectoderm	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	neuroectoderm
FBbt:00001105	larval anterior commissure	skos:closeMatch	ZFA:0000619	anterior crista	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	ac
FBbt:00001135	proneural cluster	skos:closeMatch	ZFA:0000068	proneural cluster	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	proneural cluster
FBbt:00001321	embryonic/larval exit glial cell	skos:closeMatch	ZFA:0000212	granular eminence	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	eg
FBbt:00001326	dorsal median cell	skos:closeMatch	ZFA:0000391	medial zone of dorsal telencephalon	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	dm
FBbt:00001335	anterior protocerebral neuroblast	skos:closeMatch	ZFA:0005086	pectoral artery	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	pa
FBbt:00001343	central protocerebral neuroblast	skos:closeMatch	ZFA:0000320	caudal commissure	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	pc
FBbt:00001343	central protocerebral neuroblast	skos:closeMatch	ZFA:0000566	posterior crista	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	pc
FBbt:00001354	dorsal deutocerebral neuroblast	skos:closeMatch	ZFA:0000014	dorsal aorta	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	da
