subject_id	object_id	confidence	predicate_id	subject_label	object_label
FBbt:00004924	WBbt:0006760	0.75	skos:exactMatch	uterus	uterus
FBbt:00003682	WBbt:0003734	0.73	skos:exactMatch	bulb	isthmus
FBbt:00004921	WBbt:0005319	0.73	skos:exactMatch	spermatheca	spermatheca
FBbt:00005173	WBbt:0005762	0.52	skos:exactMatch	thecogen cell	accessory cell
FBbt:00005171	WBbt:0008418	0.81	skos:exactMatch	tormogen cell	IL socket cell
FBbt:00005171	WBbt:0005750	0.55	skos:exactMatch	tormogen cell	socket cell
FBbt:00007152	WBbt:0006929	0.88	skos:exactMatch	sensillum	sensillum
FBbt:00003372	WBbt:0003675	0.52	skos:exactMatch	tergosternal muscle cell	muscle cell
FBbt:00004826	WBbt:0008422	0.89	skos:exactMatch	genitalia	sex organ
FBbt:00004926	WBbt:0006748	0.63	skos:exactMatch	oviprovector	vulva
FBbt:00052061	WBbt:0008633	0.66	skos:exactMatch	vagina	bursa
FBbt:00004856	WBbt:0005746	0.86	skos:exactMatch	organ system	Organ system
FBbt:00004857	WBbt:0005747	0.77	skos:exactMatch	reproductive system	reproductive system
FBbt:00007012	WBbt:0008628	0.73	skos:exactMatch	cell component	cell component
FBbt:00004936	WBbt:0006799	0.96	skos:exactMatch	spermatocyte	spermatocyte
FBbt:00005286	WBbt:0008591	0.93	skos:exactMatch	primary spermatocyte	primary spermatocyte
FBbt:00001408	WBbt:0008594	0.77	skos:exactMatch	neuroblast X	neuroblast
FBbt:00005133	WBbt:0006837	0.53	skos:exactMatch	serotonergic neuron	serotonergic neuron
FBbt:00005131	WBbt:0005278	0.8	skos:exactMatch	dopaminergic neuron	DA neuron
FBbt:00005131	WBbt:0006746	0.52	skos:exactMatch	dopaminergic neuron	dopaminergic neuron
FBbt:00007004	WBbt:0007850	0.89	skos:exactMatch	male organism	male
FBbt:00007002	WBbt:0004017	0.81	skos:exactMatch	cell	Cell
FBbt:00007001	WBbt:0005766	0.91	skos:exactMatch	anatomical structure	Anatomy
FBbt:00004968	WBbt:0005337	0.87	skos:exactMatch	vas deferens	vas deferens
FBbt:00000129	WBbt:0005785	0.59	skos:exactMatch	somatic mesoderm	somatic gonad
FBbt:00001000	WBbt:0008599	0.75	skos:exactMatch	gut suspension muscle cell	G cell
FBbt:00005125	WBbt:0005113	0.82	skos:exactMatch	interneuron	interneuron
FBbt:00005124	WBbt:0005759	0.95	skos:exactMatch	sensory neuron	sensory neuron
FBbt:00000124	WBbt:0003672	0.9	skos:exactMatch	epithelial cell	epithelial cell
FBbt:00005123	WBbt:0005409	0.82	skos:exactMatch	motor neuron	motor neuron
FBbt:00052020	WBbt:0008435	0.83	skos:exactMatch	uterus epithelial cell	uterine epithelial cell
FBbt:00004886	WBbt:0006797	0.87	skos:exactMatch	oocyte	oocyte
